MAARSY3D antenna positions V6,,,,,,,,,,,,,,,,,,
Group,Antenna,x/m,y/m,z/m,Lat/°,Lon/°,,UTM-33 - x ,UTM-33 -y,,z1/cm,z2/cm,z3/cm,z-z0/cm,,ext. coax cable,RCU,RCU
,43,-8.99,27.47,49.930,69.0091600230,15.1422509395,,505686.844528,7655390.115930,,43.0,,,93.0,,43,86,87
,44,-5.59,25.51,49.560,69.0091423850,15.1423362224,,505690.258486,7655388.157121,,80.0,,,56.0,,44,88,89
,45,-5.59,21.58,49.415,69.0091071089,15.1423362222,,505690.267601,7655384.223682,,94.5,,,41.5,,45,90,91
,46,-8.99,19.62,49.620,69.0090894709,15.1422509395,,505686.862763,7655382.249063,,74.0,,,62.0,,46,92,93
,47,-12.39,21.58,50.000,69.0091071089,15.1421656567,,505683.448804,7655384.207876,,36.0,,,100.0,,47,94,95
,48,-12.39,25.51,50.180,69.0091423850,15.1421656565,,505683.439683,7655388.141316,,18.0,,,118.0,,48,0,1
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-97.0,,,,
,,,,,,,,,,,,,,201.5,,,,
,,,,,,,,,,,,,,298.5,,,,
